check_name,result,status
total_rows,20,info
duplicate_ticket_ids,0,pass
unresolved_tickets,4,info
sla_breached_tickets,6,info
reopened_tickets,4,info
missing_values_ticket_id,0,pass
missing_values_created_date,0,pass
missing_values_resolved_date,4,review
missing_values_department,0,pass
missing_values_category,0,pass
missing_values_priority,0,pass
missing_values_status,0,pass
missing_values_assigned_team,0,pass
missing_values_customer_type,0,pass
missing_values_resolution_hours,4,review
missing_values_sla_hours,0,pass
missing_values_reopened,0,pass
missing_values_is_resolved,0,pass
missing_values_sla_breached,0,pass
missing_values_reopened_flag,0,pass
